split,epoch,step,seen,lr,train_loss,val_loss,val_acc
train,0,99,50688,0.01,0.34663820266723633,0.8382505939628064,54.00387471746852
train,0,199,101888,0.01,0.3774632215499878,0.8382505939628064,54.00387471746852
train,0,299,153088,0.01,0.3263621926307678,0.8382505939628064,54.00387471746852
train,0,399,204288,0.01,0.3454631567001343,0.8382505939628064,54.00387471746852
train,0,499,255488,0.01,0.33126652240753174,0.8382505939628064,54.00387471746852
train,0,599,306688,0.01,0.3297824263572693,0.8382505939628064,54.00387471746852
train,0,699,357888,0.01,0.3550172746181488,0.8382505939628064,54.00387471746852
train,0,799,409088,0.01,0.38219061493873596,0.8382505939628064,54.00387471746852
train,0,899,460288,0.01,0.3778659999370575,0.8382505939628064,54.00387471746852
train,0,999,511488,0.01,0.29533717036247253,0.8382505939628064,54.00387471746852
train,0,1099,562688,0.01,0.34500277042388916,0.8382505939628064,54.00387471746852
train,0,1199,613888,0.01,0.41694584488868713,0.8382505939628064,54.00387471746852
train,0,1299,665088,0.01,0.3678213059902191,0.8382505939628064,54.00387471746852
train,0,1399,716288,0.01,0.332180917263031,0.8382505939628064,54.00387471746852
train,0,1499,767488,0.01,0.3384461998939514,0.8382505939628064,54.00387471746852
train,0,1599,818688,0.01,0.33294352889060974,0.8382505939628064,54.00387471746852
train,0,1699,869888,0.01,0.3681430220603943,0.8382505939628064,54.00387471746852
train,0,1799,921088,0.01,0.3375024199485779,0.8382505939628064,54.00387471746852
train,0,1899,972288,0.01,0.29770809412002563,0.8382505939628064,54.00387471746852
train,0,1999,1023488,0.01,0.3309890925884247,0.8382505939628064,54.00387471746852
train,0,2099,1074688,0.01,0.31000828742980957,0.8382505939628064,54.00387471746852
train,0,2199,1125888,0.01,0.34910768270492554,0.8382505939628064,54.00387471746852
train,0,2299,1177088,0.01,0.3200269639492035,0.8382505939628064,54.00387471746852
